flow_duration,ip_proto,srcport,dstport,byte_count,packet_count,type
2,6,48734,57206,0,0,1
2,6,48734,57206,0,0,1
2,6,35651,36787,0,0,1
2,6,35651,36787,0,0,1
2,6,41902,59134,0,0,1
1,6,41902,59134,0,0,1
1,6,64503,36784,0,0,1
1,6,64503,36784,0,0,1
1,6,16107,19999,0,0,1
1,6,16107,19999,0,0,1
1,6,6668,12601,0,0,1
1,6,6668,12601,0,0,1
1,6,6370,16933,0,0,1
1,6,6370,16933,0,0,1
1,6,35399,19239,0,0,1
1,6,35399,19239,0,0,1
1,6,47206,65391,0,0,1
1,6,47206,65391,0,0,1
0,6,61285,47749,0,0,1
0,6,61285,47749,0,0,1
0,6,8669,18843,0,0,1
0,6,8669,18843,0,0,1
0,6,21607,15109,0,0,1
0,6,21607,15109,0,0,1
0,6,8032,11324,0,0,1
0,6,8032,11324,0,0,1
0,6,38978,47594,0,0,1
0,6,38978,47594,0,0,1
0,6,19377,23414,0,0,1
0,6,19377,23414,0,0,1
0,6,34895,34265,0,0,1
0,6,34895,34265,0,0,1
9,6,49150,33017,0,0,1
9,6,49150,33017,0,0,1
9,6,52390,19789,0,0,1
9,6,52390,19789,0,0,1
9,6,43720,39742,0,0,1
9,6,43720,39742,0,0,1
9,6,63106,26493,0,0,1
9,6,63106,26493,0,0,1
9,6,50446,16824,0,0,1
9,6,50446,16824,0,0,1
9,6,1467,47091,0,0,1
9,6,1467,47091,0,0,1
8,6,33629,63961,0,0,1
8,6,33629,63961,0,0,1
8,6,35498,60028,0,0,1
8,6,35498,60028,0,0,1
8,6,50332,40838,0,0,1
8,6,50332,40838,0,0,1
8,6,15480,17545,0,0,1
8,6,15480,17545,0,0,1
8,6,45506,602,0,0,1
8,6,45506,602,0,0,1
8,6,46228,65142,0,0,1
8,6,46228,65142,0,0,1
8,6,37312,11007,0,0,1
8,6,37312,11007,0,0,1
7,6,44340,15949,0,0,1
7,6,44340,15949,0,0,1
7,6,18128,46731,0,0,1
7,6,18128,46731,0,0,1
7,6,29554,22456,0,0,1
7,6,29554,22456,0,0,1
7,6,35382,40165,0,0,1
7,6,35382,40165,0,0,1
7,6,23728,50232,0,0,1
7,6,23728,50232,0,0,1
7,6,57740,55773,0,0,1
7,6,57740,55773,0,0,1
7,6,48597,49552,0,0,1
6,6,48597,49552,0,0,1
6,6,56730,44905,0,0,1
6,6,56730,44905,0,0,1
6,6,17954,35951,0,0,1
6,6,17954,35951,0,0,1
6,6,8968,23425,0,0,1
6,6,8968,23425,0,0,1
6,6,51210,24288,0,0,1
6,6,51210,24288,0,0,1
6,6,669,41395,0,0,1
6,6,669,41395,0,0,1
6,6,56294,59323,0,0,1
6,6,56294,59323,0,0,1
5,6,28312,2774,0,0,1
5,6,28312,2774,0,0,1
5,6,37259,16262,0,0,1
5,6,37259,16262,0,0,1
5,6,32098,32664,0,0,1
5,6,32098,32664,0,0,1
5,6,46724,23889,0,0,1
5,6,46724,23889,0,0,1
5,6,2788,170,0,0,1
5,6,2788,170,0,0,1
5,6,25696,2105,0,0,1
5,6,25696,2105,0,0,1
5,6,60629,12602,0,0,1
5,6,60629,12602,0,0,1
4,6,15788,8984,0,0,1
4,6,15788,8984,0,0,1
4,6,57084,35772,0,0,1
4,6,57084,35772,0,0,1
4,6,24760,54961,0,0,1
4,6,24760,54961,0,0,1
4,6,52675,27475,0,0,1
4,6,52675,27475,0,0,1
4,6,9174,1062,0,0,1
4,6,9174,1062,0,0,1
4,6,9601,39220,0,0,1
4,6,9601,39220,0,0,1
3,6,15381,27434,0,0,1
3,6,15381,27434,0,0,1
3,6,7547,15761,0,0,1
3,6,7547,15761,0,0,1
3,6,52531,38707,0,0,1
3,6,52531,38707,0,0,1
3,6,35683,55029,0,0,1
3,6,35683,55029,0,0,1
3,6,12857,44202,0,0,1
3,6,12857,44202,0,0,1
3,6,6655,34460,0,0,1
3,6,6655,34460,0,0,1
3,6,44428,5791,0,0,1
3,6,44428,5791,0,0,1
2,6,31970,24339,0,0,1
2,6,31970,24339,0,0,1
2,6,19801,63921,0,0,1
2,6,19801,63921,0,0,1
2,6,40515,30600,0,0,1
2,6,40515,30600,0,0,1
2,6,39260,53116,0,0,1
2,6,39260,53116,0,0,1
2,6,11899,23872,0,0,1
2,6,11899,23872,0,0,1
2,6,43748,63687,0,0,1
2,6,43748,63687,0,0,1
2,6,24517,25792,0,0,1
1,6,24517,25792,0,0,1
1,6,7510,14644,0,0,1
1,6,7510,14644,0,0,1
1,6,64797,52564,0,0,1
1,6,64797,52564,0,0,1
1,6,38687,62777,0,0,1
1,6,38687,62777,0,0,1
1,6,49171,3149,0,0,1
1,6,49171,3149,0,0,1
1,6,15823,26376,0,0,1
1,6,15823,26376,0,0,1
1,6,45549,63393,0,0,1
1,6,45549,63393,0,0,1
0,6,37424,62154,0,0,1
0,6,37424,62154,0,0,1
0,6,38064,53669,0,0,1
0,6,38064,53669,0,0,1
0,6,41214,63101,0,0,1
0,6,41214,63101,0,0,1
0,6,9366,44251,0,0,1
0,6,9366,44251,0,0,1
0,6,11162,24830,0,0,1
0,6,11162,24830,0,0,1
0,6,56331,45449,0,0,1
0,6,56331,45449,0,0,1
0,6,37391,57301,0,0,1
9,6,49150,33017,0,0,1
9,6,49150,33017,0,0,1
9,6,52390,19789,0,0,1
9,6,52390,19789,0,0,1
9,6,43720,39742,0,0,1
9,6,43720,39742,0,0,1
9,6,63106,26493,0,0,1
9,6,63106,26493,0,0,1
9,6,50446,16824,0,0,1
9,6,50446,16824,0,0,1
9,6,1467,47091,0,0,1
9,6,1467,47091,0,0,1
8,6,33629,63961,0,0,1
8,6,33629,63961,0,0,1
8,6,35498,60028,0,0,1
8,6,35498,60028,0,0,1
8,6,50332,40838,0,0,1
8,6,50332,40838,0,0,1
8,6,15480,17545,0,0,1
8,6,15480,17545,0,0,1
8,6,45506,602,0,0,1
8,6,45506,602,0,0,1
8,6,46228,65142,0,0,1
8,6,46228,65142,0,0,1
8,6,37312,11007,0,0,1
8,6,37312,11007,0,0,1
7,6,44340,15949,0,0,1
7,6,44340,15949,0,0,1
7,6,18128,46731,0,0,1
7,6,18128,46731,0,0,1
7,6,29554,22456,0,0,1
7,6,29554,22456,0,0,1
7,6,35382,40165,0,0,1
7,6,35382,40165,0,0,1
7,6,23728,50232,0,0,1
7,6,23728,50232,0,0,1
7,6,57740,55773,0,0,1
7,6,57740,55773,0,0,1
7,6,48597,49552,0,0,1
6,6,48597,49552,0,0,1
6,6,56730,44905,0,0,1
6,6,56730,44905,0,0,1
6,6,17954,35951,0,0,1
6,6,17954,35951,0,0,1
6,6,8968,23425,0,0,1
6,6,8968,23425,0,0,1
6,6,51210,24288,0,0,1
6,6,51210,24288,0,0,1
6,6,669,41395,0,0,1
6,6,669,41395,0,0,1
6,6,56294,59323,0,0,1
6,6,56294,59323,0,0,1
5,6,28312,2774,0,0,1
5,6,28312,2774,0,0,1
5,6,37259,16262,0,0,1
5,6,37259,16262,0,0,1
5,6,32098,32664,0,0,1
5,6,32098,32664,0,0,1
5,6,46724,23889,0,0,1
5,6,46724,23889,0,0,1
5,6,2788,170,0,0,1
5,6,2788,170,0,0,1
5,6,25696,2105,0,0,1
5,6,25696,2105,0,0,1
5,6,60629,12602,0,0,1
5,6,60629,12602,0,0,1
4,6,15788,8984,0,0,1
4,6,15788,8984,0,0,1
4,6,57084,35772,0,0,1
4,6,57084,35772,0,0,1
4,6,24760,54961,0,0,1
4,6,24760,54961,0,0,1
4,6,52675,27475,0,0,1
4,6,52675,27475,0,0,1
4,6,9174,1062,0,0,1
4,6,9174,1062,0,0,1
4,6,9601,39220,0,0,1
4,6,9601,39220,0,0,1
3,6,15381,27434,0,0,1
3,6,15381,27434,0,0,1
3,6,7547,15761,0,0,1
3,6,7547,15761,0,0,1
3,6,52531,38707,0,0,1
3,6,52531,38707,0,0,1
3,6,35683,55029,0,0,1
3,6,35683,55029,0,0,1
3,6,12857,44202,0,0,1
3,6,12857,44202,0,0,1
3,6,6655,34460,0,0,1
3,6,6655,34460,0,0,1
3,6,44428,5791,0,0,1
3,6,44428,5791,0,0,1
2,6,31970,24339,0,0,1
2,6,31970,24339,0,0,1
2,6,19801,63921,0,0,1
2,6,19801,63921,0,0,1
2,6,40515,30600,0,0,1
2,6,40515,30600,0,0,1
2,6,39260,53116,0,0,1
2,6,39260,53116,0,0,1
2,6,11899,23872,0,0,1
2,6,11899,23872,0,0,1
2,6,43748,63687,0,0,1
2,6,43748,63687,0,0,1
2,6,24517,25792,0,0,1
